Input/Output;Name of consumption mix;Name of input/output;Quantity;Unit;Comment on proxys / origins
Output;Coconut, unprocessed, consumption mix {PH} U;Coconut, unprocessed, consumption mix {PH} U;3.602454545;kg;
Input;Coconut, unprocessed, consumption mix {PH} U;Coconut, dehusked {PH}| coconut production, dehusked | Cut-off, S - Copied from Ecoinvent U;3.602454545;kg;
Output;Cod, consumption mix {FR} U;Cod, consumption mix {FR} U;1.0;kg;
Input;Cod, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Cod, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Cod, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Coffee, green bean, consumption mix {FR} U;Coffee, green bean, consumption mix {FR} U;1.0;kg;
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR}| coffee green bean production, robusta | Cut-off, U - Copied from Ecoinvent U;0.06;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, irrigated | Cut-off, U - Adapted from Ecoinvent U;0.03;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, manual | Cut-off, U - Adapted from Ecoinvent U;0.08;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, mechanized | Cut-off, U - Adapted from Ecoinvent U;0.08;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, not irrigated | Cut-off, U - Adapted from Ecoinvent U;0.03;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, semi-mechanized | Cut-off, U - Adapted from Ecoinvent U;0.08;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {BR-MG}| coffee green bean production, arabica, semi-mechanized | Cut-off, U - Adapted from Ecoinvent U;0.02;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {CO}| coffee green bean production, arabica | Cut-off, U - Adapted from Ecoinvent U;0.04;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {HN}| coffee green bean production, arabica | Cut-off, U - Adapted from Ecoinvent U;0.02;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {ID}| coffee green bean production, robusta | Cut-off, U - Copied from Ecoinvent U;0.06;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {IN}| coffee green bean production, arabica | Cut-off, U - Copied from Ecoinvent U;0.008;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {IN}| coffee green bean production, robusta | Cut-off, U - Copied from Ecoinvent U;0.017;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {RoW}| coffee green bean production, arabica | Cut-off, U - Copied from Ecoinvent U;0.19;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {RoW}| coffee green bean production, robusta | Cut-off, U - Copied from Ecoinvent U;0.18;kg;Source Ecoinvent
Input;Coffee, green bean, consumption mix {FR} U;Coffee, green bean {VN}| coffee green bean production, robusta | Cut-off, U - Copied from Ecoinvent U;0.1;kg;Source Ecoinvent
Output;Common dab, consumption mix {FR} U;Common dab, consumption mix {FR} U;1.0;kg;
Input;Common dab, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Common dab, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Common dab, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Common dentex, consumption mix {FR} U;Common dentex, consumption mix {FR} U;1.0;kg;
Input;Common dentex, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Common dentex, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Common dentex, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Common sole, consumption mix {FR} U;Common sole, consumption mix {FR} U;1.0;kg;
Input;Common sole, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Common sole, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Common sole, consumption mix {FR} U;Common Sole, Solea solea, BBiscay, Trammel Net, average, at landing {FR} U;0.4;kg;
Output;Comte cheese, from cow's milk, consumption mix {FR} U;Comte cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Comte cheese, from cow's milk, consumption mix {FR} U;Comte cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Comte cheese (PGi) {FR} U;1.0;kg;
Output;Conger, consumption mix {FR} U;Conger, consumption mix {FR} U;1.0;kg;
Input;Conger, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Conger, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Conger, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;Coriander, consumption mix {FR} U;Coriander, consumption mix {FR} U;1.0;kg;
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0993;kg;GLO used as a substitute for BG
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.135;kg;GLO used as a substitute for EG
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.167;kg;GLO used as a substitute for IN
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0706;kg;GLO used as a substitute for MA
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0712;kg;GLO used as a substitute for RO
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.307;kg;GLO used as a substitute for SY
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0621;kg;GLO used as a substitute for TR
Input;Coriander, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0886;kg;GLO used as a substitute for UA
Output;Corn glucose syrup, consumption mix {FR} U;Corn glucose syrup, consumption mix {FR} U;1.0;kg;
Input;Corn glucose syrup, consumption mix {FR} U;Corn glucose syrup, at plant {GLO} - Adapted from WFLDB U;1.0;kg;GLO used as proxy for FR
Output;Corsica soft ripened cheese, from ewe's milk, consumption mix {FR} U;Corsica soft ripened cheese, from ewe's milk, consumption mix {FR} U;1.0;kg;
Input;Corsica soft ripened cheese, from ewe's milk, consumption mix {FR} U;Corsica soft ripened cheese production, from ewe's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1.0;kg;
Output;Cos or romaine lettuce, consumption mix {FR} U;Cos or romaine lettuce, consumption mix {FR} U;1.0;kg;
Input;Cos or romaine lettuce, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Cottonseed oil, crude, consumption mix {FR} U;Cottonseed oil, crude, consumption mix {FR} U;1.0;kg;
Input;Cottonseed oil, crude, consumption mix {FR} U;Cottonseed oil, crude {GLO}| market for | Cut-off, U - Copied from Ecoinvent U;1.0;kg;GLO used as a proxy for FR
Output;Coulommiers cheese, from cow's milk, consumption mix {FR} U;Coulommiers cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Coulommiers cheese, from cow's milk, consumption mix {FR} U;Coulommiers cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Coulommiers soft cheese (PGi) {FR} U;1.0;kg;
Output;Cow milk, consumption mix {FR} U;Cow milk, consumption mix {FR} U;1.0;kg;
Input;Cow milk, consumption mix {FR} U;Cow milk, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Cranberries, consumption mix {FR} U;Cranberries, consumption mix {FR} U;1.0;kg;
Input;Cranberries, consumption mix {FR} U;Cranberry, at farm {CL} - Adapted from WFLDB U;0.711;kg;CL used as a substitute for AR
Input;Cranberries, consumption mix {FR} U;Cranberry, at farm {CL} - Adapted from WFLDB U;0.289;kg;
Output;Crevalle jack, consumption mix {FR} U;Crevalle jack, consumption mix {FR} U;1.0;kg;
Input;Crevalle jack, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;Crevalle jack, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;Crevalle jack, consumption mix {FR} U;Bluefin Tuna, Thunnus thynnus, MedSea, Longline, average, at landing {FR} U;0.4;kg;
Output;Crottin cheese, from goat's milk, consumption mix {FR} U;Crottin cheese, from goat's milk, consumption mix {FR} U;1.0;kg;
Input;Crottin cheese, from goat's milk, consumption mix {FR} U;Crottin cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1.0;kg;
Output;Crottin cheese, from raw milk, from goat's milk, consumption mix {FR} U;Crottin cheese, from raw milk, from goat's milk, consumption mix {FR} U;1.0;kg;
Input;Crottin cheese, from raw milk, from goat's milk, consumption mix {FR} U;Crottin cheese, from raw milk production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1.0;kg;
Output;Crottin de Chavignol cheese, from goat's milk, consumption mix {FR} U;Crottin de Chavignol cheese, from goat's milk, consumption mix {FR} U;1.0;kg;
Input;Crottin de Chavignol cheese, from goat's milk, consumption mix {FR} U;Crottin de Chavignol cheese production, from goat's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1.0;kg;
Output;Cucurbitacea seed, consumption mix {FR} U;Cucurbitacea seed, consumption mix {FR} U;1.0;kg;
Input;Cucurbitacea seed, consumption mix {FR} U;Linseed {RoW}| linseed production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Cumin, consumption mix {FR} U;Cumin, consumption mix {FR} U;1.0;kg;
Input;Cumin, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1.0;kg;
Output;Curly kale, consumption mix {FR} U;Curly kale, consumption mix {FR} U;1.0;kg;
Input;Curly kale, consumption mix {FR} U;Cauliflower, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Currant, consumption mix {FR} U;Currant, consumption mix {FR} U;1.0;kg;
Input;Currant, consumption mix {FR} U;Strawberry, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Curry, consumption mix {FR} U;Curry, consumption mix {FR} U;1.0;kg;
Input;Curry, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1.0;kg;
Output;Dandelion, consumption mix {FR} U;Dandelion, consumption mix {FR} U;1.0;kg;
Input;Dandelion, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Dates, dried, consumption mix {FR} U;Dates, dried, consumption mix {FR} U;1.0;kg;
Input;Dates, dried, consumption mix {FR} U;Palm date, conditioned and dried {GLO}| palm date production, conditioned and dried | Cut-off, U - Copied from Ecoinvent U;0.337;kg;GLO used as a substitute for DZ
Input;Dates, dried, consumption mix {FR} U;Palm date, conditioned and dried {GLO}| palm date production, conditioned and dried | Cut-off, U - Copied from Ecoinvent U;0.663;kg;GLO used as a substitute for TN
Output;Dill, fresh, consumption mix {FR} U;Dill, fresh, consumption mix {FR} U;1.0;kg;
Input;Dill, fresh, consumption mix {FR} U;Mint {RoW}| mint production | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Duck egg, raw, consumption mix {FR} U;Duck egg, raw, consumption mix {FR} U;1.0;kg;
Input;Duck egg, raw, consumption mix {FR} U;Egg, conventionnal, national average, at farm gate {FR} U;1.0;kg;Duck egg production is approached by chicken egg production
Output;Durum wheat, consumption mix {FR} U;Durum wheat, consumption mix {FR} U;1.0;kg;
Input;Durum wheat, consumption mix {FR} U;Durum wheat grain, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Durum wheat, semolina, consumption mix {FR} U;Durum wheat, semolina, consumption mix {FR} U;1.0;kg;
Input;Durum wheat, semolina, consumption mix {FR} U;Durum wheat, semolina, at plant {GLO} - Adapted from WFLDB U;1.0;kg;GLO used as proxy for FR
Output;Edam cheese, from cow's milk, consumption mix {FR} U;Edam cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Edam cheese, from cow's milk, consumption mix {FR} U;Edam cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Edam cheese (PGi) {FR} U;1.0;kg;
Output;Elderberries, consumption mix {FR} U;Elderberries, consumption mix {FR} U;1.0;kg;
Input;Elderberries, consumption mix {FR} U;Elderberry, at farm {PL} - Adapted from WFLDB U;1.0;kg;PL used as a substitute for FR
Output;Emmental cheese, from cow's milk, consumption mix {FR} U;Emmental cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Emmental cheese, from cow's milk, consumption mix {FR} U;Emmental cheese, cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Emmental cheese (PGi) {FR} U;1.0;kg;
Output;Emmental cheese, grated, from cow's milk, consumption mix {FR} U;Emmental cheese, grated, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Emmental cheese, grated, from cow's milk, consumption mix {FR} U;Emmental cheese, grated, cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of Emmental, grated cheese (PGi) {FR} U;1.0;kg;
Output;Endive, consumption mix {FR} U;Endive, consumption mix {FR} U;1.0;kg;
Input;Endive, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Epoisses cheese, from cow's milk, consumption mix {FR} U;Epoisses cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Epoisses cheese, from cow's milk, consumption mix {FR} U;Epoisses cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of epoisses soft cheese (PGi) {FR} U;1.0;kg;
Output;Escaroles, consumption mix {FR} U;Escaroles, consumption mix {FR} U;1.0;kg;
Input;Escaroles, consumption mix {FR} U;Lettuce, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;European bass, consumption mix {FR} U;European bass, consumption mix {FR} U;1.0;kg;
Input;European bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;EU process assumed to be the same as French
Input;European bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European bass, consumption mix {FR} U;Sea bass or sea bream, 200-500g, conventional, in cage, at farm gate {FR} U;0.4;kg;
Output;European hake, consumption mix {FR} U;European hake, consumption mix {FR} U;1.0;kg;
Input;European hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.3;kg;EU process assumed to be the same as French
Input;European hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European hake, consumption mix {FR} U;Saithe, Pollachius virens, NorthSea, Bottom Trawl, average, fresh, at landing {EU} U;0.4;kg;
Output;European perch, consumption mix {FR} U;European perch, consumption mix {FR} U;1.0;kg;
Input;European perch, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0.3;kg;EU process assumed to be the same as French
Input;European perch, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European perch, consumption mix {FR} U;Small trout, 250-350g, conventional, at farm gate {FR} U;0.4;kg;
Output;European pilchard or sardine, consumption mix {FR} U;European pilchard or sardine, consumption mix {FR} U;1.0;kg;
Input;European pilchard or sardine, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;European pilchard or sardine, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European pilchard or sardine, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.4;kg;
Output;European pilchard or sardine, for canned european pilchard or sardine, consumption mix {FR} U;European pilchard or sardine, for canned european pilchard or sardine, consumption mix {FR} U;1.0;kg;
Input;European pilchard or sardine, for canned european pilchard or sardine, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;1.0;kg;EU process assumed to be the same as French
Output;European pilchard or sardine, in olive oil, canned, consumption mix {FR} U;European pilchard or sardine, in olive oil, canned, consumption mix {FR} U;1.0;kg;
Input;European pilchard or sardine, in olive oil, canned, consumption mix {FR} U;European pilchard, main product, BBiscay, Seine, at landing {FR} U;0.5;kg;
Input;European pilchard or sardine, in olive oil, canned, consumption mix {FR} U;European pilchard, main product, ECA, Seine, frozen {MA};0.5;kg;
Output;European plaice, consumption mix {FR} U;European plaice, consumption mix {FR} U;1.0;kg;
Input;European plaice, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;European plaice, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European plaice, consumption mix {FR} U;Gadidae, CelticSea, Bottom Trawl, average, at landing {FR} U;0.4;kg;
Output;European sprat, consumption mix {FR} U;European sprat, consumption mix {FR} U;1.0;kg;
Input;European sprat, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.3;kg;EU process assumed to be the same as French
Input;European sprat, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.3;kg;Non-EU process assumed to be the same as French
Input;European sprat, consumption mix {FR} U;European Pilchard, Sardina pilchardus, BBiscay, Seine, average, at landing {FR} U;0.4;kg;
Output;Extra Virgin Olive Oil, consumption mix {FR} U;Extra Virgin Olive Oil, consumption mix {FR} U;1.0;kg;
Input;Extra Virgin Olive Oil, consumption mix {FR} U;Olive oil, at plant {ES} U;0.7647058823529411;kg;Virgin olive oil production in Spain
Input;Extra Virgin Olive Oil, consumption mix {FR} U;Extra Virgin Olive Oil, at plant {IT} U;0.23529411764705882;kg;Virgin olive oil production in Italy
Output;Fattened duck legs, for duck confit, consumption mix {FR} U;Fattened duck legs, for duck confit, consumption mix {FR} U;1.0;kg;
Input;Fattened duck legs, for duck confit, consumption mix {FR} U;Fattened duck legs, for duck confit, fresh {FR} U;0.77;kg;77% fresh supplies - Data on the breakdown between frozen and fresh legs supply models from the 5 companies collected. 
Input;Fattened duck legs, for duck confit, consumption mix {FR} U;Fattened duck legs, for duck confit, frozen {FR} U;0.23;kg;23% frozen supplies - Data on the breakdown between frozen and fresh legs supply models from the 5 companies collected. 
Output;Fattened duck liver, for block duck foie gras, consumption mix {FR} U;Fattened duck liver, for block duck foie gras, consumption mix {FR} U;1.0;kg;
Input;Fattened duck liver, for block duck foie gras, consumption mix {FR} U;Fattened duck liver, for block duck foie gras, fresh {FR} U;0.6;kg;60% fresh supplies - Data on the breakdown between frozen and fresh liver supply models from the 5 companies collected. 
Input;Fattened duck liver, for block duck foie gras, consumption mix {FR} U;Fattened duck liver, for block duck foie gras, frozen {FR} U;0.4;kg;40% frozen supplies - Data on the breakdown between frozen and fresh liver supply models for the 5 companies collected. 
Output;Fattened duck liver, for whole duck foie gras, consumption mix {FR} U;Fattened duck liver, for whole duck foie gras, consumption mix {FR} U;1.0;kg;
Input;Fattened duck liver, for whole duck foie gras, consumption mix {FR} U;Fattened duck liver, for whole duck foie gras, fresh {FR} U;0.68;kg;68% fresh supplies - Data on the breakdown between frozen and fresh liver supply models from the 7 companies collected. 
Input;Fattened duck liver, for whole duck foie gras, consumption mix {FR} U;Fattened duck liver, for whole duck foie gras, frozen {FR} U;0.32;kg;32% frozen supplies - Data on the breakdown between frozen and fresh liver supply models from the 7 companies collected. 
Output;Fattened duck magret, for smoked duck magret, sliced, consumption mix {FR} U;Fattened duck magret, for smoked duck magret, sliced, consumption mix {FR} U;1.0;kg;
Input;Fattened duck magret, for smoked duck magret, sliced, consumption mix {FR} U;Fattened duck magret, for smoked duck magret, sliced, fresh {FR} U;0.51;kg;51% fresh supplies - Data on the breakdown between frozen and fresh magret supply models from the 5 companies collected. 
Input;Fattened duck magret, for smoked duck magret, sliced, consumption mix {FR} U;Fattened duck magret, for smoked duck magret, sliced, frozen {FR} U;0.49;kg;49% frozen supplies - Data on the breakdown between frozen and fresh magret supply models from the 5 companies collected. 
Output;Fennel, consumption mix {FR} U;Fennel, consumption mix {FR} U;1.0;kg;
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0993;kg;GLO used as a substitute for BG
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.135;kg;GLO used as a substitute for EG
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.167;kg;GLO used as a substitute for IN
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0706;kg;GLO used as a substitute for MA
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0712;kg;GLO used as a substitute for RO
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.307;kg;GLO used as a substitute for SY
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0621;kg;GLO used as a substitute for TR
Input;Fennel, consumption mix {FR} U;Fennel {GLO}| production | Cut-off, U - Adapted from Ecoinvent U;0.0886;kg;GLO used as a substitute for UA
Output;Fenugreek, consumption mix {FR} U;Fenugreek, consumption mix {FR} U;1.0;kg;
Input;Fenugreek, consumption mix {FR} U;Black pepper, dried, consumption mix {FR} U;1.0;kg;
Output;Feta-type cheese, from cow's milk, consumption mix {FR} U;Feta-type cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Feta-type cheese, from cow's milk, consumption mix {FR} U;Feta-type cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Feta-type soft cheese (PGi) {FR} U;1.0;kg;
Output;Feta cheese, from ewe's milk, consumption mix {FR} U;Feta cheese, from ewe's milk, consumption mix {FR} U;1.0;kg;
Input;Feta cheese, from ewe's milk, consumption mix {FR} U;Feta cheese production, from ewe's milk, soft cheese, French production mix, at plant, 1 kg of soft cheese {FR} U;1.0;kg;
Output;Fig, consumption mix {FR} U;Fig, consumption mix {FR} U;1.0;kg;
Input;Fig, consumption mix {FR} U;Peach, conventional, national average, at orchard {FR} U;0.385;kg;
Input;Fig, consumption mix {FR} U;Peach {ES}| peach production | Cut-off, U - Adapted from Ecoinvent U;0.298;kg;
Input;Fig, consumption mix {FR} U;Peach, conventional, national average, at orchard {FR} U;0.317;kg;FR used as a substitute for IT
Output;Fig, dried, consumption mix {FR} U;Fig, dried, consumption mix {FR} U;1.0;kg;
Input;Fig, dried, consumption mix {FR} U;Peach, conventional, national average, at orchard {FR} U;1.3590499999999999;kg;
Input;Fig, dried, consumption mix {FR} U;Peach {ES}| peach production | Cut-off, U - Adapted from Ecoinvent U;1.0519399999999999;kg;
Input;Fig, dried, consumption mix {FR} U;Peach, conventional, national average, at orchard {FR} U;1.11901;kg;FR used as a substitute for IT
Output;Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat, cheese, from cow's milk, consumption mix {FR} U;Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat, cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat, cheese, from cow's milk, consumption mix {FR} U;Firm cheese, around 14% fat, Maasdam-type cheese, reduced fat, cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of firm cheese (PGi) {FR} U;1.0;kg;
Output;Firm cheese, around 27% fat, Maasdam-type cheese, from cow's milk, consumption mix {FR} U;Firm cheese, around 27% fat, Maasdam-type cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Firm cheese, around 27% fat, Maasdam-type cheese, from cow's milk, consumption mix {FR} U;Firm cheese, around 27% fat, Maasdam-type cheese production, from cow's milk, hard cheese, French production mix, at plant, 1 kg of firm cheese (PGi) {FR} U;1.0;kg;
Output;Fish oil, consumption mix {FR} U;Fish oil, consumption mix {FR} U;1.0;kg;
Input;Fish oil, consumption mix {FR} U;Fish oil, from anchovy {GLO}| market for fish oil, from anchovy | Cut-off, S - Copied from Ecoinvent U;1.0;kg;GLO used as a proxy for FR
Output;Flageolet bean, consumption mix {FR} U;Flageolet bean, consumption mix {FR} U;1.0;kg;
Input;Flageolet bean, consumption mix {FR} U;Fava bean, Swiss integrated production {CH}| fava bean production, Swiss integrated production, at farm | Cut-off, U - Adapted from Ecoinvent U;1.0;kg;
Output;Flat bean, consumption mix {FR} U;Flat bean, consumption mix {FR} U;1.0;kg;
Input;Flat bean, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;Fourme d'Ambert cheese, from cow's milk, consumption mix {FR} U;Fourme d'Ambert cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Fourme d'Ambert cheese, from cow's milk, consumption mix {FR} U;Fourme d'Ambert cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Fourme d'Ambert type soft cheese (PGi) {FR} U;1.0;kg;
Output;Fourme de Montbrison cheese, from cow's milk, consumption mix {FR} U;Fourme de Montbrison cheese, from cow's milk, consumption mix {FR} U;1.0;kg;
Input;Fourme de Montbrison cheese, from cow's milk, consumption mix {FR} U;Fourme de Montbrison cheese production, from cow's milk, soft cheese, French production mix, at plant, 1 kg of Fourme de Montbrison type soft cheese (PGi) {FR} U;1.0;kg;
Output;French bean, consumption mix {FR} U;French bean, consumption mix {FR} U;1.0;kg;
Input;French bean, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;French bean, for canned and frozen products, consumption mix {FR} U;French bean, for canned and frozen products, consumption mix {FR} U;1.0;kg;
Input;French bean, for canned and frozen products, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1.0;kg;
Output;French bean, raw, from Kenya by plane, consumption mix {FR} U;French bean, raw, from Kenya by plane, consumption mix {FR} U;1.0;kg;
Input;French bean, raw, from Kenya by plane, consumption mix {FR} U;French bean, conventional, national average, at farm gate {FR} U;1.0;kg;FR used as proxy for KE
Output;Fresh tomato, consumption mix {FR} U;Fresh tomato, consumption mix {FR} U;1.0;kg;
