Nom du Produit en Français;LCI Name;Type de production;Catégorie;Score unique EF3.1 (mPt/kg);Changement climatique (kg CO2 eq/kg);Appauvrissement de la couche d'ozone (kg CFC11 eq/kg);Rayonnements ionisants (kBq U-235 eq/kg);Formation photochimique d’ozone (kg NMVOC eq/kg);Particules (disease inc./kg);Effets toxicologiques sur la santé humaine : substances non-cancérogènes* (CTUh/kg);Effets toxicologiques sur la santé humaine : substances cancérogènes* (CTUh/kg);Acidification terrestre et eaux douces (mol H+ eq/kg);Eutrophisation eaux douces (kg P eq/kg);Eutrophisation marine (kg N eq/kg);Eutrophisation terrestre (mol N eq/kg);Écotoxicité pour écosystèmes aquatiques d’eau douce (CTUe/kg);Utilisation du sol (Pt/kg);Épuisement des ressources en eau (m³ depriv./kg);Épuisement des ressources énergétiques (MJ/kg);Épuisement des ressources en minéraux (kg Sb eq/kg);Changement climatique - émissions biogéniques (kg CO2 eq/kg);Changement climatique - émissions fossiles (kg CO2 eq/kg);Changement climatique - émissions liées au changement d’affectation des sols (kg CO2 eq/kg)
Blé d'hiver, biologique, système numéro 9, à la ferme, France;Winter wheat, organic, system number 9, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.14987373999999998;1.2733698;4.3130353e-08;0.092872009;0.0033857258;1.4046919e-07;7.2241493e-08;2.0462117e-09;0.013140711;0.00044886194;0.0085257435;0.081839483;2.79178467;136.87657;0.014163579;5.1434122;1.5121291e-06;0.25033387;0.86302246;0.16001351
Tournesol, biologique, système numéro 1, à la ferme, France;Sunflower grain, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.14804947;1.178488;9.7492783e-09;0.053876103;0.0026648505;3.7580729e-08;4.6733261e-09;3.4037716e-09;0.0044644836;0.00080138394;0.018755712;0.024273474;3.03551153;370.65912;0.029525284;5.941064;3.1071023e-06;0.045725868;0.6989816;0.43378054
Colza d'hiver, biologique, à la ferme, France;Winter rapeseed, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.14404013999999998;0.67139887;4.8582417e-09;0.013933351;0.0011641333;1.3241761e-07;2.6376299e-08;2.0560431e-09;0.019206165;0.00033104593;0.014572398;0.08402771;3.58994032;233.70057;0.051784204;2.7603594;2.4196089e-06;8.1713775e-05;0.39685771;0.27445944
Tournesol, biologique, système numéro 3, à la ferme, France;Sunflower grain, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.14131744;1.2869594;6.290366e-09;0.02163157;0.0017948834;8.8614044e-08;3.3582092e-09;1.4812072e-10;0.0072643862;0.00065521156;0.013412931;0.051548434;2.04544059;303.8101;0.015798642;3.7862351;2.8010465e-06;0.19147577;0.7385847;0.35689888
Pois chiche, biologique, système numéro 1, à la ferme, France;Chickpea, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.14105109;0.98448223;7.4534459e-09;0.02690399;0.0016200657;1.3371492e-08;3.6076283e-09;5.2836254e-10;0.0018851904;0.00080084414;0.031099359;0.0089308402;1.9623544699999997;342.21511;0.021230057;4.4414028;2.9519148e-06;0.012660289;0.56985373;0.40196821
Blé d'hiver, biologique, système numéro 18, à la ferme, France;Winter wheat, organic, system number 18, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.13957224;1.1080194;3.3733243e-09;0.016725371;0.0018350026;1.284417e-07;1.3494937e-07;2.581091e-09;0.010913288;0.00037361646;0.0057764922;0.07611777;3.0100145;159.26222;0.009958797;2.1360944;1.5630098e-06;0.26371229;0.65758432;0.18672279
Soja, biologique, système numéro 3, à la ferme, France;Soybean grain, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.13905851;1.0308301;7.4992542e-09;0.031318298;0.0014693462;1.1772205e-08;3.5364927e-09;3.4199967e-10;0.0016554634;0.00084039141;0.025328236;0.0075157043;1.9122806200000002;389.97894;0.15273528;4.5454093;3.1241746e-06;0.010382494;0.56213208;0.45831554
Orge de printemps, biologique, système numéro 2, à la ferme, France;Spring barley, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.13831195000000002;0.97219253;5.9200217e-09;0.02081276;0.0022199506;1.1723128e-07;4.8368297e-08;1.3496827e-09;0.013369583;0.00015856893;0.016476617;0.073882626;2.6312481500000002;155.89577;0.015751967;3.5601501;2.7994027e-06;0.13897711;0.65037779;0.18283763
Blé d'hiver, biologique, système numéro 4, à la ferme, France;Winter wheat, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.13623806000000002;0.91785077;4.3375164e-09;0.015170106;0.0017722386;8.7851547e-08;3.5721065e-08;1.6678194e-09;0.010916501;0.00022239632;0.017127768;0.056846159;2.10640763;283.0308;0.011757211;2.6059196;2.1215045e-06;0.07840828;0.50661513;0.33282736
Féverole d'hiver, biologique, système numéro 4, à la ferme, France;Winter faba bean, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.13405688;1.0458077;5.0489482e-09;0.015444273;0.0013629942;5.1268898e-08;2.6981682e-09;4.1516743e-10;0.0043299265;0.00070794904;0.022808473;0.03010283;1.63176367;303.67481;0.012509382;3.037853;2.1196134e-06;0.10974134;0.57903053;0.35703579
Blé d'hiver, biologique, système numéro 10, à la ferme, France;Winter wheat, organic, system number 10, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.13366228;1.1981551;3.3927482e-09;0.018081095;0.0016990167;1.2653618e-07;6.0194307e-08;1.4774229e-09;0.0094913817;0.00020675968;0.012050909;0.072959793;2.18413153;158.29344;0.0091754418;2.166857;1.6036524e-06;0.29628067;0.71635087;0.1855236
Féverole de printemps, biologique, système numéro 1, à la ferme, France;Spring faba bean, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.129291;1.1969737;4.5182947e-09;0.0184792;0.0015961059;1.0271806e-07;2.8625695e-09;2.1346165e-10;0.0077611011;0.00025143145;0.016568356;0.058883734;1.90654514;212.53504;0.012838366;2.7815541;1.9450234e-06;0.23845327;0.70988904;0.24863135
Tournesol, biologique, système numéro 4, à la ferme, France;Sunflower grain, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Oil seeds\Transformation;0.12808392999999998;1.1219002;7.0709077e-09;0.022079606;0.0016775351;5.6000831e-08;5.0047883e-09;1.664063e-10;0.0049494316;0.00066673839;0.013708232;0.032374606;3.49046643;309.49472;0.026125559;4.1946212;3.1971078e-06;0.11058097;0.65355369;0.3577655
Système de culture numéro 5, biologique, à la ferme, France;Cropping system number 5, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.12623393;0.66416173;8.3704496e-09;0.046725009;0.0023146386;3.4270816e-08;6.5616161e-09;1.6350924e-09;0.0039264633;0.00067172766;0.021593398;0.021991284;2.41567074;326.80342;0.077500464;5.1398264;2.7724607e-06;0.046672346;0.58869255;0.028796842
Raisin, biologique, AOC, Maconnais, à la ferme, France;Grape, organic, AOC, Maconnais, at vineyard {FR} U;Culture;Agricultural\Plant production\Fruits\Transformation;0.12262258999999999;0.66881302;1.5205302e-08;0.039480691;0.0030847238;9.0277896e-08;3.0380864e-08;3.1595976e-09;0.0086749513;0.00027420401;0.0025665591;0.031485989;11.692560799999999;74.813849;0.11715933;8.0578156;2.5876297e-05;0.0021456262;0.66606698;0.00060041682
Soja, biologique, système numéro 4, à la ferme, France;Soybean grain, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.12124911;0.93861057;7.7802137e-09;0.031373433;0.0018162114;1.2060099e-08;4.8293562e-09;3.645173e-10;0.0017549222;0.00076786127;0.019245458;0.0079755391;2.02947147;328.39087;0.15309048;4.7784065;3.1193383e-06;0.010384115;0.54244571;0.38578074
Système de culture numéro 10, biologique, à la ferme, France;Cropping system number 10, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.12074507;0.77158077;4.1687054e-09;0.16887497;0.0014555071;8.8282569e-08;1.9851992e-08;1.1216345e-09;0.0064595181;0.00028240314;0.0062661981;0.050231375;1.9028741;112.16674;3.3441412;5.2498734;2.3628702e-06;0.21180711;0.55448457;0.0052890888
Blé d'hiver, biologique, système numéro 11, à la ferme, France;Winter wheat, organic, system number 11, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.11668585000000001;1.1132606;3.500665e-09;0.017188171;0.001539423;1.1288423e-07;3.1836774e-08;2.0371636e-09;0.0082924099;0.00032658537;0.0062101785;0.064693792;2.13954564;166.51108;0.0091925751;2.2131986;1.598625e-06;0.26925172;0.64874815;0.19526068
Triticale, association de cultures, biologique, système numéro 4, à la ferme, France;Triticale grain, from intercrop, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.11629762;1.1807776;3.3920581e-09;0.017056223;0.0015207048;1.1475986e-07;4.599157e-09;2.9808451e-10;0.0080449763;0.00038305878;0.0065184105;0.065191012;1.55301424;193.87885;0.0089518558;2.167388;1.4627655e-06;0.28491182;0.66841275;0.22745307
Blé d'hiver, biologique, système numéro 2, à la ferme, France;Winter wheat, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.11600827;1.0153566;3.6445899e-09;0.016842893;0.0016129902;1.1043722e-07;8.3720514e-08;1.4022453e-09;0.0090499164;0.00015152967;0.0058440187;0.064730121;2.2199844200000003;148.29749;0.0096022391;2.2737788;1.6960372e-06;0.23615864;0.60531459;0.1738834
Lait de vache, biologique, système laitier de plaine, ensillage de maïs 5 à 10%, à la ferme, France;Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.11527993;1.2009056;4.3603925e-09;0.050602888;0.0016821856;1.1162478e-07;1.6396533e-08;4.4979639e-10;0.016260914;7.2113392e-05;0.0055158165;0.072956868;1.75175462;98.351282;0.094101094;2.6763457;1.8639805e-06;0.81145278;0.28377768;0.1056751
Raisin de cuve, biologique, AOP, système numéro 5, à la ferme, France;Grape, organic, PDO, dry white wine, system number 5, at vineyard gate {FR} U;Culture;Agricultural\Plant production\Fruits\Transformation;0.11425915;0.75806092;2.4396273e-08;0.046716733;0.0029833931;2.7935648e-08;3.3871517e-08;7.3342559e-10;0.004436238;0.00034421034;0.0074003267;0.012709591;6.3038642;240.97314;0.072223165;9.8750434;1.3161061e-05;0.0021299367;0.75547872;0.0004522688
Pois d'hiver et triticale associés, biologique, système numéro 4, à la ferme, France;Winter pea and triticale grain intercrop, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.11370769;1.1511167;3.3416113e-09;0.016638073;0.0014881331;1.1134152e-07;3.979162e-09;2.5953039e-10;0.0078471889;0.0003767357;0.0064853182;0.063313453;1.5092235500000002;191.74507;0.0088038244;2.1322978;1.4404518e-06;0.27527061;0.65088095;0.22496515
Féverole d'hiver, biologique, système numéro 3, à la ferme, France;Winter faba bean, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.11247757;0.89517649;3.6574542e-09;0.047128;0.0012482603;6.9338587e-08;2.3538061e-09;2.4939224e-10;0.0053969142;0.00039416916;0.016641716;0.040060964;1.33712184;167.37667;0.74550984;2.8684966;1.7188723e-06;0.15801041;0.54067784;0.19648824
Blé d'hiver, association de cultures, biologique, système numéro 1, à la ferme, France;Winter wheat, from intercrop, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.11242689;0.9067505;3.5315972e-08;0.07314117;0.0025084699;7.7681301e-08;4.8029541e-08;1.1511924e-09;0.007983443;0.00022785624;0.012779506;0.045586093;1.93451592;144.22109;0.011448484;4.2025373;1.2051766e-06;0.11885204;0.61884064;0.16905782
Avoine d'hiver, biologique, système numéro 1, à la ferme, France;Winter oat, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.11174085;0.9529155;3.9311149e-09;0.016263813;0.001707562;1.067258e-07;1.7793491e-08;1.2522336e-09;0.010654436;0.00018256802;0.0062835506;0.065224018;1.91743935;191.06968;0.01053749;2.4052954;1.8803735e-06;0.17094316;0.55759692;0.22437542
Blé d'hiver, biologique, système numéro 8, à la ferme, France;Winter wheat, organic, system number 8, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.10896991;0.90194001;7.1306362e-09;0.05496049;0.0025539323;5.3934527e-08;1.0866871e-08;1.6743481e-09;0.0056564699;0.00028025687;0.013732966;0.034242848;2.16987728;212.65383;0.02486366;4.464455;1.7011476e-06;0.083308915;0.57128157;0.24734952
Pois d'hiver, association de culture, biologique, système numéro 4, à la ferme, France;Winter pea, from intercrop, organic, system number 4, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.10766451;1.0819075;3.223902e-09;0.01566239;0.0014121326;1.0336543e-07;2.5325065e-09;1.6957077e-10;0.0073856885;0.00036198146;0.0064081027;0.0589325;1.4070451099999999;186.76624;0.0084584179;2.0504208;1.3883864e-06;0.25277445;0.60997309;0.21915999
Blé d'hiver, association de cultures, biologique, système numéro 3, à la ferme, France;Winter wheat, from intercrop, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.10500095000000001;0.82525724;3.5037373e-08;0.071517043;0.0023705696;6.5745055e-08;4.483702e-08;1.122254e-09;0.0071525619;0.0002292409;0.012233953;0.038826759;1.78301087;153.56833;0.010693694;4.0232648;1.073884e-06;0.089246199;0.55586507;0.18014597
Système de culture numéro 2, biologique, à la ferme, France;Cropping system number 2, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.10232898;0.81401518;3.5800213e-09;0.01678437;0.0013601505;9.9028224e-08;2.5544599e-08;5.8635929e-10;0.0074839683;0.00013206053;0.0089367997;0.056711607;1.75375189;174.49993;0.010097938;2.2119515;1.7387377e-06;0.22824616;0.57385569;0.011913338
Blé d'hiver, biologique, système numéro 14, à la ferme, France;Winter wheat, organic, system number 14, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.10001506;0.85036951;4.134546e-09;0.014527001;0.0012936707;6.4494751e-08;4.2069072e-08;2.4067378e-09;0.0053958058;0.00038329426;0.0066991485;0.037863749;2.17738532;195.34468;0.010354649;2.5096863;1.8356955e-06;0.13683601;0.48405743;0.22947607
Lait de vache, biologique, système numéro 2, à la ferme, France;Cow milk, organic, system number 2, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.099846732;0.89659972;3.8173482e-09;0.052386673;0.001369374;1.0931854e-07;1.5727277e-08;4.9060166e-10;0.015403935;6.3146972e-05;0.0026931086;0.070775685;1.55167741;98.252497;0.061507211;2.6620857;1.840282e-06;0.65878465;0.28333836;-0.045523281
Epautre, biologique, à la ferme, France;Spelt, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.09906177199999999;0.66228772;3.9374224e-09;0.01071813;0.00094610394;3.3945885e-08;1.1971483e-08;1.5291571e-09;0.0051764125;0.00025376727;0.014287654;0.022631472;1.57481852;291.68646;0.010013544;2.3375892;1.8565545e-06;4.1175816e-05;0.31903622;0.34321032
Lait de vache, biologique, système numéro 1, à la ferme, France;Cow milk, organic, system number 1, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.098470793;0.90552428;3.8809433e-09;0.053923843;0.0015827866;1.0419979e-07;1.3729141e-08;4.7214284e-10;0.01502082;5.9425491e-05;0.0025269987;0.06832043;1.6775981899999999;96.137794;0.15921793;2.8532636;1.5349815e-06;0.66515944;0.28559292;-0.045228072
Blé d'hiver, biologique, système numéro 17, à la ferme, France;Winter wheat, organic, system number 17, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.09376641699999999;0.83058908;2.4529012e-09;0.011539774;0.0012854804;8.5904172e-08;2.5753212e-09;1.3742316e-10;0.0070823449;0.00030956601;0.0099118709;0.050625446;1.26810617;132.31545;0.0074549634;1.5556359;1.0693178e-06;0.18341003;0.49195853;0.15522052
Féverole d'hiver, biologique, système numéro 2, à la ferme, France;Winter faba bean, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Legumes\Transformation;0.092056765;0.70407526;4.2251404e-09;0.011294802;0.00094663051;2.0137187e-08;2.0850216e-09;1.8309309e-10;0.0019108609;0.0002783943;0.020689597;0.012067593;1.19174837;216.49829;0.010292674;2.5034098;1.7820213e-06;0.03958818;0.40989904;0.25458804
Blé d'hiver, biologique, système numéro 3, à la ferme, France;Winter wheat, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.091915621;0.71217193;3.7607895e-09;0.011526108;0.0011504677;4.7445266e-08;7.7997843e-09;3.1624608e-10;0.0051558018;0.00022982858;0.013546955;0.029572882;1.29293569;207.07408;0.0093108625;2.2590623;1.6716745e-06;0.066208218;0.40250625;0.24345746
Lait de vache, biologique, système numéro 5, à la ferme, France;Cow milk, organic, system number 5, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.091837416;0.9673806;2.5599995e-09;0.048450474;0.0014497942;8.9941183e-08;1.4958483e-08;3.8105334e-10;0.013338435;4.2149528e-05;0.0037385649;0.059913031;1.3036742700000001;74.779574;0.039554762;2.2111561;1.5015411e-06;0.65453506;0.22268796;0.090157586
Maïs grain, biologique, système numéro 1, à la ferme, France;Grain maize, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.091773037;0.75179645;7.4368426e-09;0.10057557;0.0011976578;8.1772054e-08;4.0538444e-08;1.179131e-09;0.0061184773;0.00023076781;0.0038058738;0.046142306;1.56248576;81.202287;1.0528733;3.4012791;1.5099537e-06;0.18877682;0.46829053;0.094729099
Orge d'hiver, biologique, système numéro 1, à la ferme, France;Winter barley, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.091060444;0.72469658;3.074992e-09;0.040323983;0.0011186031;6.3302061e-08;2.7770778e-08;1.5854123e-09;0.0052477224;0.00026061032;0.0083731021;0.037108232;1.6157708199999998;130.06512;0.63477142;2.4116504;1.5155491e-06;0.13470742;0.4373422;0.15264697
Blé d'hiver, biologique, système numéro 16, à la ferme, France;Winter wheat, organic, system number 16, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.08761485100000001;0.75486941;3.4339439e-09;0.077181674;0.0015038829;7.3421983e-08;3.6354849e-09;1.0766468e-09;0.0057969668;0.00022526131;0.0044043608;0.04367068;1.30216012;94.48838;1.2849496;3.0898094;1.4110475e-06;0.17082786;0.4733863;0.11065525
Triticale, association de cultures, biologique, système numéro 2, à la ferme, France;Triticale grain, from intercrop, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.085701272;0.82119951;2.8133294e-09;0.012332401;0.0011973349;7.791722e-08;3.449145e-09;2.0861373e-10;0.0060627244;0.00013916113;0.0084978031;0.045280323;1.17963349;134.86467;0.0070919609;1.7648304;1.2104409e-06;0.17717046;0.48578471;0.15824433
Blé d'hiver, biologique, système numéro 13, à la ferme, France;Winter wheat, organic, system number 13, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.085411602;0.73719808;3.8207211e-09;0.012680103;0.0011150184;5.0781424e-08;5.6023739e-09;2.4979096e-10;0.0041602096;0.00030199213;0.012022479;0.029651181;1.29365636;153.6715;0.009491503;2.3115556;1.6471273e-06;0.11097528;0.44574374;0.18047905
Féverole d'hiver et de blé d'hiverassociés, biologique, système numéro 1, à la ferme, France;Winter faba bean and winter wheat intercrop, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.084989168;0.62345299;3.4791268e-08;0.069075002;0.0021369753;4.2319353e-08;4.000753e-08;8.6223162e-10;0.0055382423;0.00019700636;0.011593548;0.025529416;1.50300724;123.07174;0.0099338045;3.8440586;9.5815137e-07;0.030690435;0.44837971;0.14438284
Avoine de printemps, biologique, à la ferme, France;Spring oat grain, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.084671407;0.3723255;3.1804936e-09;0.0088568739;0.00092876063;3.4561926e-08;1.5816546e-07;4.7948985e-09;0.0053315139;0.00019339827;0.005516171;0.023608739;3.0435079;118.80656;0.0090449002;1.8626093;1.4720661e-06;3.3316088e-05;0.23258429;0.13970789
Pois d'hiver et blé d'hiver associés, biologique, système numéro 1, à la ferme, France;Winter pea and winter wheat intercrop, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.084346215;0.61087884;3.4612812e-08;0.068399202;0.0020993323;4.001706e-08;3.9013352e-08;9.2126714e-10;0.0054353909;0.00019902231;0.011221874;0.024338501;1.46058881;136.7108;0.009482533;3.7364241;8.7564626e-07;0.023287957;0.42712203;0.16046885
Triticale, association de cultures, biologique, système numéro 3, à la ferme, France;Triticale grain, from intercrop, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.084259341;0.65277309;3.4670268e-09;0.0097043504;0.0010332801;3.7177129e-08;4.7454084e-09;3.1099691e-10;0.0044419048;0.00025526615;0.01097063;0.023785621;1.15567996;229.20706;0.008519208;2.0762747;1.4684637e-06;0.040805512;0.34237528;0.2695923
Blé d'hiver, biologique, système numéro 1, à la ferme, France;Winter wheat, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.083757836;0.79285844;2.8768022e-09;0.012785262;0.0011664807;7.8213773e-08;4.7529886e-09;1.9469266e-10;0.0061420005;0.00012143713;0.0087053435;0.045376274;1.18963261;118.34057;0.007518765;1.7903106;1.3043266e-06;0.17515093;0.47891971;0.13878779
Pois d'hiver et triticale associés, biologique, système numéro 2, à la ferme, France;Winter pea and triticale grain intercrop, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.083515857;0.79658848;2.7701443e-09;0.011986733;0.0011697453;7.5091808e-08;2.932861e-09;1.7609199e-10;0.0058951507;0.00013384456;0.0084601676;0.043721864;1.14291284;132.94763;0.0069663348;1.7350017;1.1913881e-06;0.16931762;0.47126367;0.15600719
Lait de vache, biologique, système numéro 4, à la ferme, France;Cow milk, organic, system number 4, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.083013481;0.90551735;2.7513876e-09;0.037457702;0.0011368162;8.2301256e-08;9.594877e-09;4.0346354e-10;0.011745054;5.5847365e-05;0.002732697;0.05338076;1.40767424;75.776775;0.050950067;2.0254451;1.2832179e-06;0.57957925;0.2352098;0.090728303
Triticale, biologique, système numéro 2, à la ferme, France;Triticale grain, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.082617586;0.64676828;5.1119217e-09;0.034975136;0.0016978827;3.1983396e-08;4.2960528e-09;1.706084e-09;0.0034539549;0.00033062087;0.012079104;0.020469204;1.62225141;165.61907;0.01696706;3.1694528;1.3988765e-06;0.047776148;0.4058402;0.19315193
Blé d'hiver, biologique, système numéro 15, à la ferme, France;Winter wheat, organic, system number 15, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.08185176;0.68304716;3.3743275e-09;0.011989472;0.0010468036;5.2863166e-08;3.3418324e-08;1.6893361e-09;0.0043708677;0.00026567064;0.0082455277;0.030932776;1.7050265599999999;134.9397;0.0084785342;2.0469002;1.5149039e-06;0.1134966;0.41110503;0.15844553
Pois d'hiver et triticale associés, biologique, système numéro 3, à la ferme, France;Winter pea and triticale grain intercrop, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.08000879600000001;0.60578419;3.3817367e-09;0.0090471442;0.00097939856;3.1806014e-08;3.7557262e-09;2.4776564e-10;0.00411455;0.00024496592;0.010876987;0.020808867;1.08474534;225.23316;0.0082733711;2.0177989;1.4309361e-06;0.026126687;0.31470648;0.26495102
Maïs grain, biologique, système numéro 3, à la ferme, France;Grain maize, organic, system number 3, at farm gate {FR} U;Culture;Agricultural\Plant production\Cereals\Transformation;0.079285594;0.53767266;2.6332071e-09;0.11452412;0.00081380843;5.2123269e-08;2.5573965e-08;1.0673259e-09;0.0038548466;0.00017128913;0.0036053061;0.029313758;1.5402892;67.941918;2.2604902;3.4855775;1.621761e-06;0.1217168;0.33777226;0.078183589
Pois d'hiver, association de cultures, biologique, système numéro 2, à la ferme, France;Winter pea, from intercrop, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.078976933;0.74547337;2.680455e-09;0.011268816;0.001112445;6.9223646e-08;1.86058e-09;1.0854688e-10;0.005547114;0.00012280272;0.0083820018;0.040485067;1.0666475499999999;128.96608;0.0067054258;1.6730512;1.151818e-06;0.15300786;0.44110471;0.1513608
Lait de vache, biologique, système numéro 3, à la ferme, France;Cow milk, organic, system number 3, at farm gate {FR} U;Elevage;Agricultural\Animal production\Dairy\Transformation;0.078844213;0.73214529;2.136669e-09;0.044684393;0.001285332;8.9850073e-08;1.238449e-08;3.049859e-10;0.013392932;2.0080607e-05;0.0016856247;0.059896648;1.13915879;60.254982;0.028788703;1.9933623;1.1111871e-06;0.6108161;0.18125404;-0.059924849
Pois d'hiver, association de culture, biologique, système numéro 6, à la ferme, France;Winter pea, from intercrop, organic, system number 6, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.077461293;0.53941917;3.4471291e-08;0.067359921;0.0020089199;3.1441055e-08;3.707213e-08;8.5427152e-10;0.0048629995;0.00018894945;0.010884514;0.019509077;1.35311489;131.09163;0.0090788113;3.6408102;8.0956681e-07;0.0013018761;0.38420748;0.15390982
Herbe pâturée, pâturage d'été, biologique, système numéro 1, à la ferme, France;Grazed grass, summer pasture, organic, system number 1, at farm gate {FR} U;Culture;Agricultural\Plant production\Roughage\Transformation;0.076539829;-0.42065727;0.0;0.0;0.00068;2.3551811e-08;2.5337165e-08;1.1035725e-09;0.0038696387;8.5786951e-05;0.013958961;0.017912009;0.502835095;496.06374;0.0;0.0;0.0;0.0;0.092720911;-0.51337818
Raisin, biologique, variety mix, Languedoc-Roussillon, à la ferme, France;Grape, organic, variety mix, Languedoc-Roussillon, at vineyard {FR} U;Culture;Agricultural\Plant production\Fruits\Transformation;0.075919655;0.3152646;6.1444899e-09;0.031959924;0.0015064026;4.1454649e-08;9.7721659e-08;2.0400311e-09;0.0040531754;0.00015242593;0.0036746951;0.015862956;5.3097289;59.611069;0.047131662;3.5920533;1.1513e-05;0.010942008;0.30329015;0.0010324403
Féverole d'hiver, association de cultures, biologique, système numéro 2, à la ferme, France;Winter faba bean, from intercrop, organic, system number 2, at farm gate {FR} U;Culture;Agricultural\Plant production\Intercrops\Transformation;0.075843254;0.5290203;3.4616367e-08;0.067719613;0.0020131438;3.053203e-08;3.7333526e-08;7.6591136e-10;0.0047231744;0.00018672306;0.011198229;0.018843853;1.35917075;116.02196;0.0094289113;3.7245657;8.7580964e-07;0.001303233;0.39155922;0.13615785
Système de culture numéro 11, biologique, à la ferme, France;Cropping system number 11, organic, at farm gate {FR} U;Culture;Agricultural\Plant production\Cropping systems\Transformation;0.075680838;0.61146384;5.0803768e-09;0.01463196;0.0010189479;7.1345959e-08;2.2925208e-08;5.7391934e-10;0.005135817;0.00016744296;0.0059417949;0.03843117;2.6699290799999997;108.19771;0.046037082;1.9147618;2.2289804e-06;0.1639885;0.44440794;0.003067401
